year,evcar_dollerpermile,conventionalcar_dollerpermile
1993,0.028751249999999996,0.051283934754333335
1994,0.028751249999999996,0.05289325348249999
1995,0.028751249999999996,0.056462343273333326
1996,0.028751249999999996,0.0609103114445
1997,0.028751249999999996,0.06178543571999999
1998,0.028751249999999996,0.053355114965499995
1999,0.028751249999999996,0.059668093309000005
2000,0.028751249999999996,0.077115841575
2001,0.032425800000000005,0.07471434464783332
2002,0.037115,0.07103248751100001
2003,0.025284,0.08175253502549999
2004,0.023408,0.09799933623750001
2005,0.024870999999999997,0.116284235142
2006,0.0272195,0.12988845901966664
2007,0.0291445,0.1381049225955
2008,0.029206000000000003,0.15762263009750002
2009,0.031015375,0.10698062834000001
2010,0.031226125000000004,0.12542385966808334
2011,0.0329875,0.16046060812658333
2012,0.042202666666666666,0.15641931608283335
2013,0.03563857142857143,0.1479149032544167
2014,0.0360528,0.14275955559400003
2015,0.034410833333333335,0.101947841366
2016,0.03552832258064517,0.09116384448750003
2017,0.034618933333333345,0.10177623634733335
2018,0.03336133333333333,0.11222016783466666
2019,0.03375811428571428,0.10782546057300002
